year,station_id,station_name,betweenness,degree_centrality
1888,ST0155,唐山市,1.0,1.0
1888,ST0045,天津市,0.0,1.0
1888,ST0161,秦皇岛市,0.0,1.0
1921,ST0248,沈阳市,0.1300563236047107,0.07936507936507936
1921,ST0249,盘锦市,0.08704557091653865,0.047619047619047616
1921,ST0253,铁岭市,0.08294930875576037,0.031746031746031744
1921,ST0021,四平市,0.0778289810547875,0.031746031746031744
1921,ST0026,长春市,0.07475678443420379,0.047619047619047616
1921,ST0254,锦州市,0.07168458781362007,0.031746031746031744
1921,ST0251,葫芦岛市,0.06451612903225806,0.031746031746031744
1921,ST0273,哈尔滨市,0.059395801331285206,0.047619047619047616
1921,ST0161,秦皇岛市,0.05632360471070148,0.047619047619047616
1921,ST0155,唐山市,0.04710701484895033,0.031746031746031744
2009,ST0160,石家庄市,0.4157950687562155,0.028925619834710745
2009,ST0175,漯河市,0.39271629916669526,0.02066115702479339
2009,ST0178,许昌市,0.38661225609547,0.02066115702479339
2009,ST0180,驻马店市,0.38609787044340044,0.012396694214876033
2009,ST0064,阜阳市,0.3818799080964302,0.024793388429752067
2009,ST0059,淮南市,0.3810568910531189,0.012396694214876033
2009,ST0172,开封市,0.37388978430094993,0.01652892561983471
2009,ST0173,新乡市,0.3686773430266452,0.02066115702479339
2009,ST0087,太原市,0.36394499502760536,0.01652892561983471
2009,ST0090,晋城市,0.3124378450670416,0.012396694214876033
2024,ST0186,杭州市,0.434009991778916,0.027777777777777776
2024,ST0143,上饶市,0.4102320875229241,0.023809523809523808
2024,ST0130,南京市,0.3081325491684057,0.027777777777777776
2024,ST0153,鹰潭市,0.27613356099411873,0.01984126984126984
2024,ST0145,南昌市,0.2741099095680769,0.015873015873015872
2024,ST0154,保定市,0.2688610636817808,0.015873015873015872
2024,ST0148,抚州市,0.2583317523556567,0.015873015873015872
2024,ST0158,承德市,0.2461266046923417,0.027777777777777776
2024,ST0156,廊坊市,0.23999241130715232,0.01984126984126984
2024,ST0175,漯河市,0.232846392208942,0.01984126984126984
