year,station_id,longitude,latitude,city_id,city_name_chn,city_name_eng,province_code,province_name
2017,S000087,130.5332,46.7819,62.0,佳木斯市,Jiamusi,JIANGXI,江西省
2017,S000088,130.6412,45.8329,,,,CHONGQING,重庆市
2017,S000089,130.2904,45.4018,,,,HEILONGJIANG,黑龙江省
2017,S000090,130.6362,45.4873,,,,HUNAN,湖南省
2017,S000091,122.0325,39.5282,,,,LIAONING,辽宁省
2017,S000092,122.6524,40.7754,,,,GANSU,甘肃省
2017,S000093,129.6427,44.6356,64.0,牡丹江市,Mudanjiang,HEILONGJIANG,黑龙江省
2017,S000094,130.2685,45.2835,,,,HEILONGJIANG,黑龙江省
2017,S000095,121.2469,41.5157,,,,LIAONING,辽宁省
2017,S000096,122.248,42.0279,,,,LIAONING,辽宁省
2017,S000097,112.7949,37.6492,20.0,晋中市,Jinzhong,SICHUAN,四川省
2017,S000098,113.6923,37.7805,16.0,阳泉市,Yangquan,SHANXI,山西省
2017,S000099,113.6928,37.7896,16.0,阳泉市,Yangquan,SHANXI,山西省
2017,S000100,114.512,38.0306,3.0,石家庄市,Shijiazhuang,HEBEI,河北省
2017,S000101,126.605,43.8751,49.0,吉林市,Jilin,JILIN,吉林省
2017,S000102,126.7501,43.7791,,,,GUIZHOU,贵州省
2017,S000103,125.662,42.5331,,,,JILIN,吉林省
2017,S000104,126.1437,41.7827,52.0,通化市,Tonghua,JILIN,吉林省
2017,S000105,126.1499,41.782,52.0,通化市,Tonghua,JILIN,吉林省
2017,S000106,126.3458,41.3495,,,,JILIN,吉林省
2017,S000107,128.967,42.5997,,,,SHANDONG,山东省
2017,S000108,129.4392,42.7603,,,,JILIN,吉林省
2017,S000109,123.8105,41.2882,38.0,本溪市,Benxi,LIAONING,辽宁省
2017,S000110,124.3586,41.2312,,,,LIAONING,辽宁省
2017,S000111,122.2881,42.0426,,,,LIAONING,辽宁省
2017,S000112,123.0682,41.9886,,,,LIAONING,辽宁省
2017,S000113,121.7755,39.1323,,,,LIAONING,辽宁省
2017,S000114,122.0341,39.4643,,,,LIAONING,辽宁省
2017,S000115,126.1529,41.7954,52.0,通化市,Tonghua,JILIN,吉林省
2017,S000116,126.5459,41.9459,53.0,白山市,Baishan,JILIN,吉林省
2017,S000117,126.552,41.9452,53.0,白山市,Baishan,JILIN,吉林省
2017,S000118,126.9001,41.8195,,,,JILIN,吉林省
2017,S000119,126.5275,44.1755,,,,JILIN,吉林省
2017,S000120,126.9524,44.3976,,,,JILIN,吉林省
2017,S000121,117.2361,32.4277,,,,ANHUI,安徽省
2017,S000122,117.405,32.7718,93.0,蚌埠市,Bengbu,ANHUI,安徽省
2017,S000123,119.8306,47.2685,,,,NEIMENGGU,内蒙古自治区
2017,S000124,122.8936,45.5799,54.0,白城市,Baicheng,JILIN,吉林省
2017,S000125,114.5347,38.0163,3.0,石家庄市,Shijiazhuang,HEBEI,河北省
2017,S000126,116.2675,37.4421,140.0,德州市,Dezhou,SHANDONG,山东省
2017,S000127,115.718,37.6847,13.0,衡水市,Hengshui,HEBEI,河北省
2017,S000128,115.792,37.6543,13.0,衡水市,Hengshui,HEBEI,河北省
2017,S000129,127.1177,46.6778,,,,HEILONGJIANG,黑龙江省
2017,S000130,129.3366,47.1547,,,,HEILONGJIANG,黑龙江省
2017,S000131,129.3419,47.1493,,,,HEILONGJIANG,黑龙江省
2017,S000132,130.2816,46.9164,62.0,佳木斯市,Jiamusi,GUANGDONG,广东省
2017,S000133,130.2867,46.911,62.0,佳木斯市,Jiamusi,GUANGDONG,广东省
2017,S000134,130.5359,46.7909,62.0,佳木斯市,Jiamusi,JIANGXI,江西省
2017,S000135,122.6539,40.7844,,,,GANSU,甘肃省
2017,S000136,123.1617,41.2385,43.0,辽阳市,Liaoyang,LIAONING,辽宁省
2017,S000137,121.1391,48.047,,,,NEIMENGGU,内蒙古自治区
2017,S000138,121.9687,48.7136,,,,NEIMENGGU,内蒙古自治区
2017,S000139,108.7768,34.3023,253.0,咸阳市,Xianyang,SHAANXI,陕西省
2017,S000140,109.2844,34.6363,,,,SICHUAN,四川省
2017,S000141,109.0457,34.802,251.0,铜川市,Tongchuan,SHAANXI,陕西省
2017,S000142,109.0772,35.0057,251.0,铜川市,Tongchuan,SHAANXI,陕西省
2017,S000143,109.0458,34.793,251.0,铜川市,Tongchuan,SHAANXI,陕西省
2017,S000144,109.2787,34.6408,,,,SICHUAN,四川省
2017,S000145,128.9094,44.5273,,,,HEILONGJIANG,黑龙江省
2017,S000146,129.2783,44.5792,,,,HEILONGJIANG,黑龙江省
2017,S000147,123.6864,41.191,38.0,本溪市,Benxi,LIAONING,辽宁省
2017,S000148,123.8096,41.2837,38.0,本溪市,Benxi,LIAONING,辽宁省
2017,S000149,123.1678,41.2379,43.0,辽阳市,Liaoyang,LIAONING,辽宁省
2017,S000150,123.6855,41.1865,38.0,本溪市,Benxi,LIAONING,辽宁省
2017,S000151,126.0153,44.8547,,,,JILIN,吉林省
2017,S000152,126.5825,44.84,,,,JILIN,吉林省
2017,S000153,126.1684,42.7506,,,,JIANGXI,江西省
2017,S000154,126.3179,42.5441,,,,JILIN,吉林省
2017,S000155,115.0942,40.5406,,,,HEBEI,河北省
2017,S000156,115.4959,40.6109,,,,HEBEI,河北省
2017,S000157,124.3798,43.1741,50.0,四平市,Siping,LIAONING,辽宁省
2017,S000158,125.3602,43.8886,48.0,长春市,Changchun,JILIN,吉林省
2017,S000159,128.8288,47.8936,,,,HEILONGJIANG,黑龙江省
2017,S000160,129.3379,47.1592,,,,HEILONGJIANG,黑龙江省
2017,S000161,131.179,46.7583,59.0,双鸭山市,Shuangyashan,GUANGXI,广西壮族自治区
2017,S000162,131.8215,46.5769,,,,HEILONGJIANG,黑龙江省
2017,S000163,131.7444,46.7582,,,,HEILONGJIANG,黑龙江省
2017,S000164,131.8229,46.5814,,,,HEILONGJIANG,黑龙江省
2017,S000165,130.5345,46.7864,62.0,佳木斯市,Jiamusi,JIANGXI,江西省
2017,S000166,131.1725,46.7593,59.0,双鸭山市,Shuangyashan,GUANGXI,广西壮族自治区
2017,S000167,124.0693,40.4197,,,,LIAONING,辽宁省
2017,S000168,124.8493,40.4773,,,,LIAONING,辽宁省
2017,S000169,110.163,34.462,,,,SHAANXI,陕西省
2017,S000170,111.3604,35.431,,,,SHANXI,山西省
2017,S000171,111.3438,35.4583,,,,SHANXI,山西省
2017,S000172,111.3858,35.5799,,,,SHANXI,山西省
2017,S000173,111.3863,35.6025,,,,SHANXI,山西省
2017,S000174,111.4325,35.6336,,,,SHANXI,山西省
2017,S000175,111.4273,35.6653,,,,SHANXI,山西省
2017,S000176,112.7797,37.5546,20.0,晋中市,Jinzhong,SHANXI,山西省
2017,S000177,112.324,38.9197,,,,SHANXI,山西省
2017,S000178,113.2256,39.9188,15.0,大同市,Datong,GANSU,甘肃省
2017,S000179,123.4185,41.6845,34.0,沈阳市,Shenyang,LIAONING,辽宁省
2017,S000180,123.4403,41.7007,34.0,沈阳市,Shenyang,LIAONING,辽宁省
2017,S000181,112.3237,38.9106,,,,SHANXI,山西省
2017,S000182,112.6919,38.7092,,,,SHANXI,山西省
2017,S000183,112.566,37.8121,14.0,太原市,Taiyuan,JIANGXI,江西省
2017,S000184,112.7655,38.2872,22.0,忻州市,Xinzhou,SHANXI,山西省
2017,S000185,112.5656,37.7986,14.0,太原市,Taiyuan,GANSU,甘肃省
2017,S000186,112.7891,37.6493,20.0,晋中市,Jinzhong,SICHUAN,四川省
2017,S000187,112.7769,37.636,20.0,晋中市,Jinzhong,SICHUAN,四川省
2017,S000188,112.7799,37.5591,20.0,晋中市,Jinzhong,SHANXI,山西省
2017,S000189,113.2101,39.9781,15.0,大同市,Datong,GANSU,甘肃省
2017,S000190,113.2806,40.0669,15.0,大同市,Datong,SHANXI,山西省
2017,S000191,113.0813,25.753,182.0,郴州市,Chenzhou,HUNAN,湖南省
2017,S000192,113.3058,25.9257,,,,HUNAN,湖南省
2017,S000193,104.1498,30.5761,222.0,成都市,Chengdu,SICHUAN,四川省
2017,S000194,104.9716,29.4985,230.0,内江市,Neijiang,HUNAN,湖南省
2017,S000195,104.9724,29.4849,230.0,内江市,Neijiang,HUNAN,湖南省
2017,S000196,106.3614,29.3225,,,,CHONGQING,重庆市
2017,S000197,106.3667,29.3226,,,,CHONGQING,重庆市
2017,S000198,106.4187,29.3425,,,,CHONGQING,重庆市
2017,S000199,106.4238,29.3472,,,,CHONGQING,重庆市
2017,S000200,106.5286,29.4961,,,,HUBEI,湖北省
2017,S000201,123.4348,41.7378,34.0,沈阳市,Shenyang,HUNAN,湖南省
2017,S000202,123.4608,41.7765,34.0,沈阳市,Shenyang,HUNAN,湖南省
2017,S000203,104.096,35.9295,,,,GANSU,甘肃省
2017,S000204,107.1326,34.2979,252.0,宝鸡市,Baoji,SHAANXI,陕西省
2017,S000205,107.1382,34.2981,252.0,宝鸡市,Baoji,SHAANXI,陕西省
2017,S000206,108.7713,34.2978,253.0,咸阳市,Xianyang,SHAANXI,陕西省
2017,S000207,108.7713,34.2932,253.0,咸阳市,Xianyang,SHAANXI,陕西省
2017,S000208,109.2645,34.3514,,,,JIANGXI,江西省
2017,S000209,110.1686,34.4529,,,,SHAANXI,陕西省
2017,S000210,112.6099,34.6609,146.0,洛阳市,Luoyang,HENAN,河南省
2017,S000211,112.627,34.6651,146.0,洛阳市,Luoyang,HENAN,河南省
2017,S000212,113.6338,34.7303,144.0,郑州市,Zhengzhou,HENAN,河南省
2017,S000213,113.7265,34.6598,144.0,郑州市,Zhengzhou,HUBEI,湖北省
2017,S000214,115.6857,34.3641,157.0,商丘市,Shangqiu,HENAN,河南省
2017,S000215,115.6969,34.3636,157.0,商丘市,Shangqiu,HENAN,河南省
2017,S000216,115.8179,34.3263,,,,HENAN,河南省
2017,S000217,115.8239,34.3305,,,,HENAN,河南省
2017,S000218,117.1043,34.2458,69.0,徐州市,Xuzhou,JIANGSU,江苏省
2017,S000219,117.2756,34.2132,69.0,徐州市,Xuzhou,JIANGSU,江苏省
2017,S000220,119.4525,34.6386,,,,SICHUAN,四川省
2017,S000221,115.8202,34.2809,,,,HENAN,河南省
2017,S000222,116.4864,34.1799,,,,HENAN,河南省
2017,S000223,117.5704,38.995,,,,SHANXI,山西省
2017,S000224,117.7222,38.959,,,,SHANXI,山西省
2017,S000225,123.1625,41.243,43.0,辽阳市,Liaoyang,LIAONING,辽宁省
2017,S000226,123.4209,41.5973,,,,HUBEI,湖北省
2017,S000227,109.2701,34.3514,,,,JIANGXI,江西省
2017,S000228,110.163,34.4574,,,,SHAANXI,陕西省
2017,S000229,116.1989,39.9002,1.0,北京市,Beijing,ZHEJIANG,浙江省
2017,S000230,116.4492,39.8566,1.0,北京市,Beijing,JIANGXI,江西省
2017,S000231,115.4591,40.2814,,,,HEBEI,河北省
2017,S000232,116.1872,39.9053,,,,ZHEJIANG,浙江省
2017,S000233,106.6904,21.9149,,,,HUBEI,湖北省
2017,S000234,108.2509,22.6861,205.0,南宁市,Nanning,GUANGXI,广西壮族自治区
2017,S000235,109.2923,24.2612,206.0,柳州市,Liuzhou,GUANGXI,广西壮族自治区
2017,S000236,112.6525,26.842,176.0,衡阳市,Hengyang,HUNAN,湖南省
2017,S000237,108.2558,22.6862,205.0,南宁市,Nanning,GUANGXI,广西壮族自治区
2017,S000238,109.1191,23.1046,,,,GUANGXI,广西壮族自治区
2017,S000239,109.1187,23.137,,,,GUANGXI,广西壮族自治区
2017,S000240,109.3232,24.123,206.0,柳州市,Liuzhou,GUANGXI,广西壮族自治区
2017,S000241,111.9141,43.6242,,,,NEIMENGGU,内蒙古自治区
2017,S000242,112.4851,43.0463,,,,NEIMENGGU,内蒙古自治区
2017,S000243,112.4787,43.0419,,,,NEIMENGGU,内蒙古自治区
2017,S000244,113.308,41.0811,33.0,乌兰察布市,Ulanchabu,NEIMENGGU,内蒙古自治区
2017,S000245,113.0708,33.7546,147.0,平顶山市,Pingdingshan,HENAN,河南省
2017,S000246,114.0411,33.5365,154.0,漯河市,Luohe,HENAN,河南省
2017,S000247,124.0279,42.6591,,,,LIAONING,辽宁省
2017,S000248,124.3752,43.1516,50.0,四平市,Siping,HUNAN,湖南省
2017,S000249,120.2215,36.327,,,,SHANDONG,山东省
2017,S000250,121.3119,37.2806,,,,SHANDONG,山东省
2017,S000251,108.5964,34.0336,,,,ANHUI,安徽省
2017,S000252,108.8843,34.24,250.0,西安市,XiAn,SICHUAN,四川省
2017,S000253,110.2178,21.5342,,,,GUANGDONG,广东省
2017,S000254,110.3132,21.1333,193.0,湛江市,Zhanjiang,GUANGDONG,广东省
2017,S000255,109.124,23.1047,,,,GUANGXI,广西壮族自治区
2017,S000256,110.2519,21.6133,,,,GUANGDONG,广东省
2017,S000257,112.6578,26.8465,176.0,衡阳市,Hengyang,HUNAN,湖南省
2017,S000258,113.2415,27.7784,174.0,株洲市,Zhuzhou,HUNAN,湖南省
2017,S000259,112.6575,26.8373,176.0,衡阳市,Hengyang,HUNAN,湖南省
2017,S000260,113.0707,25.7395,182.0,郴州市,Chenzhou,HUNAN,湖南省
2017,S000261,113.0594,25.7031,182.0,郴州市,Chenzhou,HUNAN,湖南省
2017,S000262,113.6358,24.4286,,,,GUANGDONG,广东省
2017,S000263,112.962,28.2519,173.0,长沙市,Changsha,JIANGXI,江西省
2017,S000264,114.4051,29.9381,171.0,咸宁市,Xianning,HUBEI,湖北省
2017,S000265,113.7091,34.6512,144.0,郑州市,Zhengzhou,HUBEI,湖北省
2017,S000266,113.8192,34.3629,,,,HENAN,河南省
2017,S000267,113.5962,34.8943,144.0,郑州市,Zhengzhou,ANHUI,安徽省
2017,S000268,113.86,35.1985,150.0,新乡市,Xinxiang,JIANGSU,江苏省
2017,S000269,125.3609,43.9208,48.0,长春市,Changchun,JILIN,吉林省
2017,S000270,126.0089,44.8554,,,,JILIN,吉林省
2017,S000271,114.0409,33.532,154.0,漯河市,Luohe,HENAN,河南省
2017,S000272,114.0964,33.4215,154.0,漯河市,Luohe,HENAN,河南省
2017,S000273,113.7759,34.0429,153.0,许昌市,Xuchang,HENAN,河南省
2017,S000274,114.0532,33.5543,154.0,漯河市,Luohe,HENAN,河南省
2017,S000275,114.0655,33.2504,,,,HENAN,河南省
2017,S000276,114.379,30.6624,161.0,武汉市,Wuhan,FUJIAN,福建省
2017,S000277,114.411,36.4061,,,,HEBEI,河北省
2017,S000278,114.5273,36.5196,6.0,邯郸市,Handan,SICHUAN,四川省
2017,S000279,114.3807,36.077,148.0,安阳市,Anyang,HENAN,河南省
2017,S000280,114.4247,36.2428,148.0,安阳市,Anyang,HENAN,河南省
2017,S000281,113.8605,35.2075,150.0,新乡市,Xinxiang,JIANGSU,江苏省
2017,S000282,114.3627,35.8605,149.0,鹤壁市,Hebi,HENAN,河南省
2017,S000283,114.5122,38.0351,3.0,石家庄市,Shijiazhuang,HEBEI,河北省
2017,S000284,116.1529,39.6395,,,,GUANGDONG,广东省
2017,S000285,114.4916,37.8866,3.0,石家庄市,Shijiazhuang,SHANDONG,山东省
2017,S000286,114.6261,37.3934,,,,HEBEI,河北省
2017,S000287,114.5088,36.7961,6.0,邯郸市,Handan,HEBEI,河北省
2017,S000288,114.5275,36.5241,6.0,邯郸市,Handan,SICHUAN,四川省
2017,S000289,114.2804,30.5205,161.0,武汉市,Wuhan,HEBEI,河北省
2017,S000290,114.3314,30.4686,161.0,武汉市,Wuhan,JIANGXI,江西省
2017,S000291,126.0025,44.8839,,,,JILIN,吉林省
2017,S000292,126.7283,45.7368,55.0,哈尔滨市,Harbin,HEILONGJIANG,黑龙江省
2017,S000293,116.1548,39.662,,,,GUANGDONG,广东省
2017,S000294,116.2612,39.7795,,,,SICHUAN,四川省
2017,S000295,116.2857,39.7828,1.0,北京市,Beijing,SICHUAN,四川省
2017,S000296,116.468,39.8648,1.0,北京市,Beijing,JIANGXI,江西省
2017,S000297,113.0706,25.735,182.0,郴州市,Chenzhou,HUNAN,湖南省
2017,S000298,113.0758,25.7394,182.0,郴州市,Chenzhou,HUNAN,湖南省
2017,S000299,114.1561,35.8539,149.0,鹤壁市,Hebi,HENAN,河南省
2017,S000300,114.3637,35.8786,149.0,鹤壁市,Hebi,HENAN,河南省
2017,S000301,119.216,29.4203,,,,ZHEJIANG,浙江省
2017,S000302,119.748,29.0611,86.0,金华市,Jinhua,ZHEJIANG,浙江省
2017,S000303,117.4025,25.967,,,,FUJIAN,福建省
2017,S000304,117.9563,24.415,108.0,厦门市,Xiamen,JILIN,吉林省
2017,S000305,116.9817,28.1184,121.0,鹰潭市,Yingtan,JIANGXI,江西省
2017,S000306,118.0798,26.5776,,,,FUJIAN,福建省
2017,S000307,115.3074,39.0282,,,,HEBEI,河北省
2017,S000308,115.4606,38.8363,8.0,保定市,Baoding,HEBEI,河北省
2017,S000309,130.6462,45.8275,,,,CHONGQING,重庆市
2017,S000310,130.8806,45.8259,63.0,七台河市,Qitaihe,HUNAN,湖南省
2017,S000311,104.0161,37.1115,,,,SICHUAN,四川省
2017,S000312,104.4708,37.4304,,,,NINGXIA,宁夏回族自治区
2017,S000313,123.4614,41.813,34.0,沈阳市,Shenyang,HUNAN,湖南省
2017,S000314,124.0278,42.5628,,,,HEBEI,河北省
2017,S000315,103.9036,36.1874,,,,GANSU,甘肃省
2017,S000316,104.1225,36.4874,263.0,白银市,Baiyin,GANSU,甘肃省
2017,S000317,104.4767,37.4307,,,,NINGXIA,宁夏回族自治区
2017,S000318,106.4484,38.9105,274.0,石嘴山市,Shizuishan,NINGXIA,宁夏回族自治区
2017,S000319,106.4478,38.924,274.0,石嘴山市,Shizuishan,NINGXIA,宁夏回族自治区
2017,S000320,106.6762,39.2828,,,,NINGXIA,宁夏回族自治区
2017,S000321,106.6716,39.3868,,,,NINGXIA,宁夏回族自治区
2017,S000322,109.6529,40.5275,,,,NEIMENGGU,内蒙古自治区
2017,S000323,109.6529,40.5321,26.0,包头市,Baotou,NEIMENGGU,内蒙古自治区
2017,S000324,109.9319,41.7061,,,,NEIMENGGU,内蒙古自治区
2017,S000325,109.7864,40.6682,26.0,包头市,Baotou,NEIMENGGU,内蒙古自治区
2017,S000326,109.9817,40.5733,26.0,包头市,Baotou,NEIMENGGU,内蒙古自治区
2017,S000327,109.9817,40.5687,26.0,包头市,Baotou,NEIMENGGU,内蒙古自治区
2017,S000328,110.2867,40.6454,,,,NEIMENGGU,内蒙古自治区
2017,S000329,104.1296,30.6342,222.0,成都市,Chengdu,SICHUAN,四川省
2017,S000330,104.2029,30.8152,,,,SICHUAN,四川省
2017,S000331,104.2076,30.8246,,,,SICHUAN,四川省
2017,S000332,105.9578,32.8978,,,,SHAANXI,陕西省
2017,S000333,105.9573,32.9069,,,,SHAANXI,陕西省
2017,S000334,107.1329,34.2889,252.0,宝鸡市,Baoji,SHAANXI,陕西省
2017,S000335,117.3244,49.604,,,,NEIMENGGU,内蒙古自治区
2017,S000336,119.9217,49.22,31.0,呼伦贝尔市,Hulunbeir,HEILONGJIANG,黑龙江省
2017,S000337,105.7993,32.4437,228.0,广元市,Guangyuan,SICHUAN,四川省
2017,S000338,106.4622,32.2155,,,,SICHUAN,四川省
2017,S000339,114.0949,36.7557,,,,HEBEI,河北省
2017,S000340,114.503,36.7963,6.0,邯郸市,Handan,HEBEI,河北省
2017,S000341,110.2615,21.6086,,,,GUANGDONG,广东省
2017,S000342,110.8182,21.5778,194.0,茂名市,Maoming,GUANGDONG,广东省
2017,S000343,112.1515,34.3893,,,,HENAN,河南省
2017,S000344,112.5732,34.5712,146.0,洛阳市,Luoyang,JIANGXI,江西省
2017,S000345,116.9258,24.8182,,,,FUJIAN,福建省
2017,S000346,117.443,25.2364,,,,ANHUI,安徽省
2017,S000347,114.6968,30.0133,,,,HUBEI,湖北省
2017,S000348,114.862,30.2888,166.0,鄂州市,Ezhou,JIANGXI,江西省
2017,S000349,115.1458,28.0329,,,,JIANGXI,江西省
2017,S000350,115.5089,28.1714,,,,JIANGXI,江西省
2017,S000351,101.7113,36.5306,272.0,西宁市,Xining,QINGHAI,青海省
2017,S000352,103.5252,35.9605,,,,YUNNAN,云南省
2017,S000353,104.6036,28.7066,234.0,宜宾市,Yibin,SICHUAN,四川省
2017,S000354,104.9616,29.489,230.0,内江市,Neijiang,HUNAN,湖南省
2017,S000355,120.7213,41.1569,,,,LIAONING,辽宁省
2017,S000356,121.0846,41.0274,40.0,锦州市,Jinzhou,GUIZHOU,贵州省
2017,S000357,119.9293,49.2242,31.0,呼伦贝尔市,Hulunbeir,HEILONGJIANG,黑龙江省
2017,S000358,120.8617,49.2805,,,,NEIMENGGU,内蒙古自治区
2017,S000359,113.907,36.1376,,,,CHONGQING,重庆市
2017,S000360,114.1432,36.1482,,,,HENAN,河南省
