year,station_id,longitude,latitude,city_id,city_name_chn,city_name_eng
1994,S000132,130.2816,46.9164,62.0,佳木斯市,Jiamusi
1994,S000133,130.2867,46.911,62.0,佳木斯市,Jiamusi
1994,S000134,130.5359,46.7909,62.0,佳木斯市,Jiamusi
1994,S000135,122.6539,40.7844,,,
1994,S000136,123.1617,41.2385,43.0,辽阳市,Liaoyang
1994,S000137,121.1391,48.047,,,
1994,S000138,121.9687,48.7136,,,
1994,S000139,108.7768,34.3023,253.0,咸阳市,Xianyang
1994,S000140,109.2844,34.6363,,,
1994,S000141,109.0457,34.802,251.0,铜川市,Tongchuan
1994,S000142,109.0772,35.0057,251.0,铜川市,Tongchuan
1994,S000143,109.0458,34.793,251.0,铜川市,Tongchuan
1994,S000144,109.2787,34.6408,,,
1994,S000145,128.9094,44.5273,,,
1994,S000146,129.2783,44.5792,,,
1994,S000147,123.6864,41.191,38.0,本溪市,Benxi
1994,S000148,123.8096,41.2837,38.0,本溪市,Benxi
1994,S000149,123.1678,41.2379,43.0,辽阳市,Liaoyang
1994,S000150,123.6855,41.1865,38.0,本溪市,Benxi
1994,S000151,126.0153,44.8547,,,
1994,S000152,126.5825,44.84,,,
1994,S000153,126.1684,42.7506,,,
1994,S000154,126.3179,42.5441,,,
1994,S000155,115.0942,40.5406,,,
1994,S000156,115.4959,40.6109,,,
1994,S000157,124.3798,43.1741,50.0,四平市,Siping
1994,S000158,125.3602,43.8886,48.0,长春市,Changchun
1994,S000159,128.8288,47.8936,,,
1994,S000160,129.3379,47.1592,,,
1994,S000161,131.179,46.7583,59.0,双鸭山市,Shuangyashan
1994,S000162,131.8215,46.5769,,,
1994,S000163,131.7444,46.7582,,,
1994,S000164,131.8229,46.5814,,,
1994,S000165,130.5345,46.7864,62.0,佳木斯市,Jiamusi
1994,S000166,131.1725,46.7593,59.0,双鸭山市,Shuangyashan
1994,S000167,124.0693,40.4197,,,
1994,S000168,124.8493,40.4773,,,
1994,S000169,110.163,34.462,,,
1994,S000170,111.3604,35.431,,,
1994,S000171,111.3438,35.4583,,,
1994,S000172,111.3858,35.5799,,,
1994,S000173,111.3863,35.6025,,,
1994,S000174,111.4325,35.6336,,,
1994,S000175,111.4273,35.6653,,,
1994,S000176,112.7797,37.5546,20.0,晋中市,Jinzhong
1994,S000177,112.324,38.9197,,,
1994,S000178,113.2256,39.9188,15.0,大同市,Datong
1994,S000179,123.4185,41.6845,34.0,沈阳市,Shenyang
1994,S000180,123.4403,41.7007,34.0,沈阳市,Shenyang
