Strategy,Critical Threshold (α_c),Phase Transition Point,Max Slope,Vulnerability Index
Random Failure,0.45161290322580644,0.4014336917562724,-5.226288006132478,0.4620967535085745
Degree-based Attack,0.1003584229390681,0.1003584229390681,-6.4563896539600325,0.845178630857047
Betweenness-based Attack,0.25089605734767023,0.0,-5.9077933526681194,0.8159984658820397
